Pergunta,Resposta
Qual o horário de funcionamento?, Nosso horário é de segunda a sexta, das 9h às 18h.
Quais são as formas de pagamento?, Aceitamos cartões de crédito, débito e Pix.
Qual o horário de funcionamento no final de semana?, Funcionamos das 10h às 14h aos sábados e estamos fechados aos domingos.
Onde vocês estão localizados?, Estamos localizados na Avenida Principal nº 123 no centro da cidade.
Como faço para falar com o suporte técnico?, Você pode entrar em contato pelo telefone (XX) XXXXX-XXXX ou pelo e-mail suporte@empresa.com.
Qual é o tempo de resposta do suporte?, Respondemos a maioria das solicitações em até 24 horas úteis.
Vocês oferecem serviços personalizados?, Sim oferecemos serviços personalizados. Entre em contato para uma consulta detalhada.
Qual é a política de troca ou devolução?, Aceitamos devoluções em até 30 dias após a compra desde que o produto esteja em perfeito estado e com a embalagem original.
Posso agendar uma demonstração ou consulta?, Sim basta acessar nossa página de agendamentos ou entrar em contato com a equipe pelo telefone.
Vocês oferecem parcelamento?, Sim oferecemos parcelamento em até 12x sem juros para compras acima de R$500.00.
Vocês oferecem frete grátis?, Sim o frete é grátis para compras acima de R$200.00.
Quanto tempo leva para o produto ser entregue?, O prazo de entrega varia de acordo com a localização de 3 a 10 dias úteis.
Como posso acompanhar meu pedido?, Após a compra você receberá um código de rastreamento para acompanhar o pedido em tempo real.
Vocês têm um programa de fidelidade?, Sim ao acumular pontos em suas compras, você pode trocá-los por descontos e benefícios exclusivos.
